date,steps,calories,distance_km,active_minutes,heart_rate_avg,sleep_hours,workout_type
2024-01-01,8234,412,6.1,52,72,7.2,walking
2024-01-02,10521,528,7.8,68,78,6.8,running
2024-01-03,6102,305,4.5,38,70,8.1,walking
2024-01-04,12034,602,8.9,78,82,7.5,running
2024-01-05,4521,226,3.3,28,68,6.5,rest
2024-01-06,9876,494,7.3,62,75,7.8,cycling
2024-01-07,11234,562,8.3,72,80,7.2,running
2024-01-08,7654,383,5.7,48,73,7.9,walking
2024-01-09,13200,660,9.8,85,85,6.9,running
2024-01-10,5432,272,4.0,34,69,8.3,rest
2024-01-11,8900,445,6.6,56,74,7.4,walking
2024-01-12,10200,510,7.5,65,77,7.1,cycling
2024-01-13,11800,590,8.7,74,81,6.8,running
2024-01-14,6700,335,5.0,42,71,8.0,walking
2024-01-15,9400,470,7.0,59,76,7.6,cycling
2024-01-16,12500,625,9.3,80,83,7.3,running
2024-01-17,3200,160,2.4,20,65,9.0,rest
2024-01-18,8100,405,6.0,51,72,7.7,walking
2024-01-19,10800,540,8.0,68,79,7.0,running
2024-01-20,7300,365,5.4,46,72,7.9,cycling
2024-01-21,11500,575,8.5,73,80,7.2,running
2024-01-22,5800,290,4.3,36,70,8.4,rest
2024-01-23,9200,460,6.8,58,75,7.5,walking
2024-01-24,13500,675,10.0,87,86,6.7,running
2024-01-25,6500,325,4.8,41,71,8.1,walking
2024-01-26,10500,525,7.8,66,78,7.2,cycling
2024-01-27,12100,605,9.0,77,82,7.0,running
2024-01-28,7800,390,5.8,49,73,7.8,walking
2024-01-29,8700,435,6.4,55,74,7.6,cycling
2024-01-30,14200,710,10.5,91,88,6.5,running
2024-02-01,9100,455,6.7,57,74,7.7,walking
2024-02-02,11200,560,8.3,71,79,7.1,running
2024-02-03,6800,340,5.0,43,70,8.2,walking
2024-02-04,12800,640,9.5,82,84,7.0,running
2024-02-05,4200,210,3.1,26,67,8.8,rest
2024-02-06,9800,490,7.3,62,76,7.5,cycling
2024-02-07,11600,580,8.6,74,81,7.0,running
2024-02-08,7200,360,5.3,45,72,7.9,walking
2024-02-09,13800,690,10.2,88,87,6.8,running
2024-02-10,5100,255,3.8,32,68,8.5,rest
2024-02-11,9000,450,6.7,57,75,7.6,walking
2024-02-12,10600,530,7.9,67,78,7.2,cycling
2024-02-13,12300,615,9.1,78,82,6.9,running
2024-02-14,7100,355,5.3,45,72,8.0,walking
2024-02-15,9600,480,7.1,61,76,7.4,cycling
